time,x,y,z,u,v,w,phi,theta,psi,p,q,r,Fx,Fy,Fz,l,m,n
9.05,283.2539120304327,-18.727167101457358,-4944.42200194009,52.6449476513991,-10.822476787321783,2.8293149290122432,-0.1955330950064571,0.6882702290016391,-0.05024721363194429,1.2055406917091782,-1.5648147360699278,0.6404833428866906,-3.0745390146791465,190.25607141716384,-572.6952714851585,29.202251217696322,-77.82771670134868,-105.52762085810335
9.06,283.67884332053205,-18.852725809203324,-4944.726930588974,52.63417229435592,-10.947169752628984,1.7129198344236585,-0.18160084182744884,0.6675884593194636,-0.04945119154263233,1.3932253179008205,-2.068176968217524,0.07960220893118786,15.69399384121985,196.21867375614138,-465.37541321164997,21.796764175925954,-57.72838057974805,-101.61816078787946
9.07,284.1018420414135,-18.97902148836245,-4945.034207299595,52.691779812200735,-10.785615196919084,0.47093350384674637,-0.16656080738230794,0.6435374466851624,-0.05400003960464561,1.5040034445140888,-2.4051012634301343,-0.45488480620132077,33.985042612150636,197.54645537035194,-336.5309665963533,15.78500416820424,-38.112433738667406,-96.26148601164338
9.08,284.5234823286514,-19.105496703958412,-4945.343668051494,52.79577442314876,-10.361946243553419,-0.8129960551215822,-0.15102576819612712,0.617658198613225,-0.06355444341283567,1.5535039186180737,-2.587924807193723,-0.9554403808190062,47.96666436205834,194.58911644005053,-196.74041316045862,11.202263101529688,-19.8641808013797,-89.63542024365735
9.09,284.94439059392704,-19.23148703275664,-4945.654936322552,52.92346431176306,-9.69954324767798,-2.0684436129965498,-0.13544781167141928,0.5913199035842167,-0.07770882188955941,1.5577956524707806,-2.633829502900808,-1.4154378476723584,54.70013621230106,187.66085056959602,-55.116440903658884,7.898957937900253,-3.6423198390969436,-81.91867154547822
9.1,285.3651973220623,-19.35631264289374,-4945.96744454816,53.055674259015916,-8.821710942274072,-3.237917478019203,-0.12012812892154479,0.5656847147067823,-0.09599997099427737,1.5319682749874581,-2.563518887743457,-1.8291149104717888,54.3380411242222,177.05125450420147,80.6749778514813,5.654590731582036,10.09268671495994,-73.28452727542243
9.11,285.7865059149276,-19.479355636996033,-4946.280479172403,53.17816127660538,-7.752623205774895,-4.27689661082865,-0.10523904146189644,0.5416849611515846,-0.11791680157449402,1.488908745964832,-2.3999753555197767,-2.191683058021676,48.545654854594204,163.06659194067228,204.56401338266733,4.1998977995456634,21.062349283400284,-63.91771473945012
9.120000000000001,286.20887061171334,-19.600116464796006,-4946.593236647799,53.28109576327123,-6.518029268020789,-5.153994480888899,-0.09084739988423474,0.5200130420353513,-0.1429106323856395,1.4391641577661713,-2.1671919116233465,-2.4993830811145505,39.23262414893509,146.0539015999834,312.10895115879504,3.304478368826902,29.161632866179552,-54.007610840835476
9.13,286.6327845034132,-19.718248186791453,-4946.904882709804,53.35826837149546,-5.145585867538828,-5.850789287065229,-0.07693524240949867,0.5011240558769718,-0.17040585869133462,1.3912157474736098,-1.8888986158379435,-2.749522630569528,28.554942891821725,126.41106368496955,400.5140156726608,2.804984081620118,34.44841847538457,-43.74416056073404
9.14,287.05867419538606,-19.833570670754312,-4947.214605940516,53.40602015964782,-3.664806164613159,-6.361136161981981,-0.06341760383396022,0.4852503175009497,-0.1998110224947851,1.3517638575538502,-1.5873738376022308,-2.940516380345046,18.46703991874972,104.58705475298144,468.54556858839885,2.59722049033128,37.12467765182791,-33.31641573796225
9.15,287.48689782308554,-19.94606872662488,-4947.521659907542,53.42228769697385,-2.1066808390485563,-6.6899430998805665,-0.050156219879400776,0.4724259580262604,-0.23052979294384812,1.3261383954559498,-1.2824359474689282,-3.071877044906309,10.426155252967561,81.0701036719662,516.3474015013502,2.6349244809489663,37.50864232408951,-22.90604117363961
9.16,287.91774397738186,-20.055878704719337,-4947.825391658143,53.40599384089615,-0.5030853477383752,-6.851488147884245,-0.03696946402403567,0.4625190535647139,-0.26197147609549676,1.3186755855364998,-0.9906904461546683,-3.144168315164862,5.264307395843531,56.37104304117685,545.1864768968725,2.9148811940198245,36.00072151412508,-12.682656281556522
9.17,288.3514303198057,-20.163267652779496,-4948.125257188201,53.3568488495237,1.1139281605705007,-6.867423372306497,-0.023639415715838608,0.45526843782122306,-0.29356078029315835,1.3330048308197058,-0.7250615743490725,-3.1589304197661674,3.205616728857194,31.006880318257405,557.1706696362611,3.4583390298761536,33.04788928304521,-2.8011076250521683
9.18,288.7881018625954,-20.268608288141607,-4948.42082624604,53.27548928840958,2.712879702230147,-6.764618372527621,-0.009917141929085771,0.4503224744773302,-0.32474669399867295,1.3722273786752868,-0.49459633438926637,-3.118591370551445,3.983872667442313,5.487787391982474,554.9760966888089,4.293072118043953,29.110734984922214,6.599233679444031
9.19,289.2278297259362,-20.372352195738557,-4948.711779501831,53.16380014882971,4.263597062621635,-6.572973908082741,0.004472821087585954,0.44727745874722213,-0.35501043679533106,1.438996301667174,-0.30450157301080893,-3.026374279665815,7.009251934591134,-19.691656385709567,541.6069555796091,5.4390829685245565,24.63589730910094,15.393777199741345
9.200000000000001,289.67061150797093,-20.47500301466463,-4948.9979010093775,53.02524381898688,5.737895152720511,-6.323307618732657,0.019828048053287084,0.44571380218859824,-0.3838724997550029,1.5355226965701199,-0.15636565586238693,-2.8862062959672077,11.539972391907384,-44.057895476522425,520.1942912371794,6.899378626804045,20.03470909058286,23.47154294695517
9.21,290.1163742259021,-20.57709095691616,-4949.279068374478,52.865047035705146,7.1101606961520485,-6.045392895876082,0.036463430359381155,0.4452285937557976,-0.41089880080438634,1.663538230609399,-0.04852084328004751,-2.702630104938342,16.828008232538394,-67.16221431088084,493.8281430524022,8.655991483339113,15.667469389954217,30.734349981145698
9.22,290.564782427933,-20.679584963027207,-4949.555258168492,52.690154534683934,8.30997597032115,-5.766221209375702,0.01249832050543298,0.44546346271963166,-0.43731311133986894,-2.3965109853948245,0.0234868963834014,-2.6414310535482555,22.222329882675695,-141.20037799366258,465.41274401682597,-335.19093051363393,11.832149597152423,59.47613703618993
