time,x,y,z,u,v,w,phi,theta,psi,p,q,r,Fx,Fy,Fz,l,m,n,motor0,motor1,motor2,motor3,motor4,aileron,elevator,rudder
0.51,15.03847655117621,0.04419719057018769,-5000.414805152102,26.88662370894475,-5.794654460900486,2.1312773074178293,-0.6665417287882234,0.28237408544719744,0.11695132669978614,-0.9640811126249322,0.5285949529842815,-0.28695698365212097,-55.25233009491504,-22.697691105472046,-88.74362859185955,1.9875787179504,1.4386138143942693,-5.176826597671642,0.0,0.0,0.0,0.0,1.0,-0.952170758004083,-1.0,0.6665195306028581
0.52,15.312741652084519,0.04413712554958086,-5000.439266179532,26.841297305792466,-5.759969627964266,2.1364501624252243,-0.6756162295054278,0.2877895916706934,0.11388788875515043,-0.9074500717204359,0.5415506223495994,-0.3063437944635768,-55.75761897775948,-24.11306643502595,-89.19164292119657,4.8655416852280515,1.3134538721640219,-4.2664028098176,0.0,0.0,0.0,0.0,1.0,-0.9277788078976947,-1.0,0.6494451655283863
0.53,15.586378843090271,0.04402874782049941,-5000.464949556328,26.79616931362719,-5.720279190586358,2.147862892786292,-0.6839076563328945,0.29332351422085057,0.11068418856810558,-0.8291426827466705,0.5533922550157115,-0.3203700187044883,-56.32367678600153,-25.4638920147775,-89.84539709763281,6.576293140792291,1.1716573632044514,-3.5796443693563003,0.0,0.0,0.0,0.0,1.0,-0.9068198968639827,-1.0,0.6347739278047878
0.54,15.859374183865334,0.043869602194448,-5000.49188841592,26.750819875550384,-5.676536560576871,2.1661958233992973,-0.6913072793013223,0.29896177385136946,0.10737633189843931,-0.7399622968427764,0.5638259630518906,-0.33078566696664163,-56.968329761859415,-26.724956083868136,-90.77829053488489,7.417883375154558,1.0060403917529157,-3.066251588819111,0.0,0.0,0.0,0.0,1.0,-0.8890800472538942,-1.0,0.6223560330777259
0.55,16.131712356152207,0.04365600138369557,-5000.520110076433,26.704930512668373,-5.629427870797528,2.191370913631056,-0.6977843727060823,0.3046873770234868,0.1039874723316232,-0.6477093404760003,0.5725603172117294,-0.33888595668160737,-57.69825351581482,-27.885171375714492,-92.0136219651828,7.632532814280151,0.8150652603667294,-2.684009398825605,0.0,0.0,0.0,0.0,1.0,-0.8742614148579532,-1.0,0.6119829904005671
0.56,16.403376579792493,0.04338172085683621,-5000.549637741888,26.658268258649677,-5.579434426267299,2.22277564396998,-0.7033622724921276,0.3104807997805836,0.10053149881741064,-0.557789978604531,0.5793422757096922,-0.34559735142123493,-58.5119416859753,-28.94331068939553,-93.53825181917401,7.41331810080359,0.6010822077598466,-2.3981857742139328,0.0,0.0,0.0,0.0,1.0,-0.8620236835933909,-1.0,0.6034165785153736
0.5700000000000001,16.67434865726039,0.043037106778350764,-5000.580491546395,26.610671288330387,-5.526888647690779,2.259447553573106,-0.7080996694071628,0.31632057973851535,0.09701596653171851,-0.47373969150352313,0.58397799579318,-0.35155322856920973,-59.40205581316509,-29.9046777383359,-95.31410052867948,6.911055587391269,0.3689166439830762,-2.1807685934102,0.0,0.0,0.0,0.0,1.0,-0.8520140072033351,-1.0,0.5964098050423345
0.58,16.944609115384214,0.04260856773903287,-5000.6126891172,26.56203635298013,-5.472022379666408,2.3002217776922422,-0.7120763135534981,0.32218400620621734,0.09344437632142588,-0.39766441463352037,0.5863426467702059,-0.35715902102926916,-60.35723572041537,-30.778556780084415,-97.28749305907846,6.24096395598086,0.12476932925081768,-2.009637393927489,0.0,0.0,0.0,0.0,1.0,-0.8438878386078295,-1.0,0.5907214870254806
0.59,17.214137418738563,0.04207840218657455,-5000.646245800103,26.512307997992664,-5.415006566381677,2.3438455636571276,-0.7153823653709173,0.3280478305558834,0.08981790401449974,-0.3306051817419212,0.5863824349666004,-0.36264723069259963,-61.363494825907864,-31.57630547662643,-99.39652278437958,5.488842857874149,-0.12461262914745327,-1.8677321076441906,0.0,0.0,0.0,0.0,1.0,-0.8373226448001524,-1.0,0.5861258513601066
0.6,17.482912232960455,0.041424903404084897,-5000.681174662595,26.46146936523817,-5.355981992774705,2.3890643528826443,-0.7181107057899493,0.33388894367436484,0.08613667358922461,-0.2728340419032066,0.5841113118481568,-0.36812304252752276,-62.40531596339682,-32.30997248045937,-101.57667924671782,4.716621414418581,-0.3725380663980641,-1.7422577689986716,0.0,0.0,0.0,0.0,1.0,-0.832026180534992,-1.0,0.5824183263744943
0.61,17.750911718968524,0.040622680887827355,-5000.717486365081,26.40953432489296,-5.2950815313354616,2.4346840263138274,-0.7203516038265481,0.33968498614220755,0.08240065907211713,-0.2240898036598822,0.57960424678427,-0.3736014517107657,-63.46653398989031,-32.991336232713536,-103.76500228370388,3.967214499490408,-0.6127891492191776,-1.6239486692387386,0.0,0.0,0.0,0.0,1.0,-0.827740698337362,-1.0,0.5794184888361533
0.62,18.018113841385443,0.039643139136176626,-5000.755188968813,26.35654069417399,-5.232444893023395,2.4796136032422154,-0.7221892260805025,0.34541487094980283,0.07861029007407927,-0.18376222539544154,0.5729884807595149,-0.379036899803805,-64.53106019471694,-33.6312753276295,-105.90301454418501,3.2686822578076717,-0.8398913183870848,-1.5064049152800478,0.0,0.0,0.0,0.0,1.0,-0.8242442104887202,-1.0,0.5769709473421041
0.63,18.284496676727187,0.03845506038642115,-5000.794287730535,26.302544346556925,-5.16822719311841,2.5228922326947814,-0.7236995548319153,0.35105920907227084,0.0747668257617895,-0.15103287514127922,0.5644338122467973,-0.3843464312289569,-65.5834786305612,-34.23939386913558,-107.93866102110826,2.6377253975677197,-1.049268167146083,-1.3855071555455638,0.0,0.0,0.0,0.0,1.0,-0.8213496917471903,-1.0,0.5749447842230332
0.64,18.550038709262115,0.03702524522398911,-5000.834784918292,26.247614069899416,-5.10260273338757,2.563703821987187,-0.7249493569620724,0.356600635874077,0.07087255226180389,-0.12498021301571517,0.5541426801806095,-0.3894273499985706,-66.60952828660356,-34.823837522991624,-109.82745659288699,2.0825707640058577,-1.2373086045237953,-1.2589102787736344,0.0,0.0,0.0,0.0,1.0,-0.8189029184629971,-1.0,0.5732320429240979
0.65,18.81471910485647,0.035319173091619194,-5000.87667967034,26.191827080956596,-5.035765329178464,2.6013821603282796,-0.7259959133509795,0.36202404171861824,0.06693084931787219,-0.10465563889070283,0.5423405844541346,-0.3941702943931587,-67.59647672508845,-35.391247323677476,-111.53301498215484,1.605312916211847,-1.4013690146304414,-1.125613492999186,0.0,0.0,0.0,0.0,1.0,-0.8167794780025264,-1.0,0.5717456346017684
0.66,19.078517955538423,0.03330165273586666,-5000.91996790921,26.13526514044649,-4.967926337277981,2.63540894076183,-0.7268872772308602,0.3673167138042459,0.0629461636616031,-0.08913638798807487,0.5292672085627651,-0.39846856562692584,-68.53338835295388,-35.946808580749476,-113.0271067840613,1.2037812913757961,-1.539729008490087,-0.985601915704157,0.0,0.0,0.0,0.0,1.0,-0.8148813489080156,-1.0,0.5704169442356108
